,smiles,oxidation,reduction
74274,[CH2]CC1=NCC(=O)N1,0.9373845446425896,-1.3304206276400539
62591,N#CC/C=[C]/CC(=O)O,0.9142825481545636,-0.7066123008100282
29095,CCS(=O)(=O)C[CH]SC,0.3247326589915307,-1.132815564637189
26992,CCN([CH]CO)N=O,0.284433416590601,-1.1315094446899925
36530,CN1[CH]COCC1=O,-0.2890348707775794,-1.470583623996324
18961,CC(C)c1cnc([O])s1,1.5965669532545659,0.4401337981002804
49660,C[C@H]1CN[CH][C@@H](C)N1C,-1.4337129464457647,-2.0964055524043284
30053,CC[C@@H]1N[CH]CCN1C,-1.5145019070721293,-2.185248919344155
16270,CC(C)(C[C]=O)C(=O)O,-0.3201640627469952,-1.1726522228867051
79517,[CH2]SCSC(C)(C)C,0.1838349701693129,-1.2386657016638676
